,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8970302939859722,0.9134615384615384,0.8775327771156138,0.8951367781155015
SVM,0.9274735114162065,0.9335347432024169,0.9207389749702026,0.9270927092709271
Decision Tree,0.9103118937472019,0.9110713219934348,0.9097139451728248,0.9103921276278515
Random Forest,0.9509028503208476,0.9471196454948302,0.9553039332538736,0.9511941848390446
AdaBoost,0.9188180868527086,0.912316715542522,0.9269964243146603,0.9195979899497487
Neural Network,0.9452320549171765,0.9605546995377504,0.9287842669845053,0.9444023632782912
