,RMSE,R2,mse
Linear Regression,297.0641045732891,0.832952279665859,88247.08222593006
SVM,577.3874222506719,0.3689339213492987,333376.2353732757
Decision Tree,200.3526029221655,0.92401459607722,40141.16549768691
Random Forest,131.8535012322234,0.9670903297002323,17385.34578719594
AdaBoost,394.60445544226593,0.7052429730320993,155712.67625488725
MLP,127.76209293641062,0.9691010135758992,16323.152391492027
