count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
990349,6,London,175,"Richmond upon Thames",C,Minor,,,518360,174920,51.46088911,-0.29765767,,
990348,6,London,175,"Richmond upon Thames",U,Minor,,,516020,171710,51.43252257,-0.33237745,,
990347,6,London,57,Barnet,U,Minor,,,524526,188815,51.58444556,-0.20403919,,
990346,6,London,168,"Barking and Dagenham",U,Minor,,,546350,184090,51.53674849,0.10877890,,
990345,6,London,125,"Waltham Forest",C,Minor,,,537670,186640,51.56184537,-0.01529262,,
990344,6,London,125,"Waltham Forest",U,Minor,,,536700,189400,51.58688239,-0.02820531,,
990343,6,London,125,"Waltham Forest",U,Minor,,,537090,193050,51.61958594,-0.02115418,,
990342,6,London,106,Bexley,C,Minor,,,548080,177440,51.47654530,0.13091510,,
990341,6,London,176,Bromley,C,Minor,,,543390,170600,51.41628983,0.06065791,,
990340,6,London,176,Bromley,U,Minor,,,544440,165370,51.36902905,0.07362206,,
990339,6,London,134,Croydon,C,Minor,,,537970,163240,51.35149445,-0.02008879,,
990338,6,London,134,Croydon,U,Minor,,,534130,162090,51.34207793,-0.07563121,,
990337,6,London,204,Merton,C,Minor,,,525180,170850,51.42284556,-0.20097517,,
990336,6,London,178,"Kingston upon Thames",U,Minor,,,518310,170090,51.41748945,-0.29999019,,
990334,6,London,177,Sutton,U,Minor,,,525950,165060,51.37063912,-0.19195894,,
990333,6,London,177,Sutton,C,Minor,,,527190,163390,51.35535421,-0.17475140,,
990332,6,London,177,Sutton,C,Minor,,,524000,164640,51.36729312,-0.22010476,,
990331,6,London,66,Hillingdon,C,Minor,,,510600,186310,51.56483173,-0.40574171,,
990330,6,London,66,Hillingdon,U,Minor,,,506870,184210,51.54667526,-0.46017079,,
990329,6,London,66,Hillingdon,C,Minor,,,510460,179630,51.50481915,-0.40985474,,
990328,6,London,66,Hillingdon,U,Minor,,,506150,180500,51.51346454,-0.47166737,,
990164,6,London,93,"Tower Hamlets",U,Minor,,,538230,179692,51.49927263,-0.00994469,,
990154,6,London,93,"Tower Hamlets",B135,Minor,,,534240,182360,51.52420970,-0.06637645,,
990153,6,London,93,"Tower Hamlets",B126,Minor,,,534860,180930,51.51121155,-0.05799186,,
990152,6,London,122,Hackney,B108,Minor,,,533970,183750,51.53676469,-0.06973744,,
990151,6,London,96,Islington,B515,Minor,,,531440,184050,51.54005569,-0.10608308,,
990150,6,London,103,Southwark,B214,Minor,,,532590,177720,51.48290152,-0.09188957,,
990149,6,London,107,Lambeth,B221,Minor,,,530100,174770,51.45696807,-0.12881305,,
990148,6,London,104,Lewisham,B218,Minor,,,536580,175520,51.46218232,-0.03531347,,
990147,6,London,167,Newham,B116,Minor,,,540520,182730,51.52600802,0.02423476,,
990146,6,London,204,Merton,B281,Minor,,,523190,170110,51.41663045,-0.22983889,,
